Found 1892 lines with potential untranslated hardcoded Spanish:
components\Auth\LoginComponent.jsx:42 -> Contraseña es requerida | Context: newErrors.password = uiText(i18n, "Contraseña es requerida", "Password is required");
components\Auth\LoginComponent.jsx:53 -> Modo demo desactivado en este entorno | Context: addNotification(uiText(i18n, "Modo demo desactivado en este entorno", "Demo mode is disabled in this environment"), "warning");
components\Auth\LoginComponent.jsx:74 -> Por favor corrige los errores | Context: addNotification(uiText(i18n, "Por favor corrige los errores", "Please fix the errors"), "error");
components\Auth\LoginComponent.jsx:94 -> No se pudo iniciar sesión | Context: addNotification(response.error || uiText(i18n, "No se pudo iniciar sesión", "Could not sign in"), "error");
components\Auth\LoginComponent.jsx:98 -> Error en el servidor | Context: addNotification(uiText(i18n, "Error en el servidor", "Server error"), "error");
components\Auth\LoginComponent.jsx:135 -> Ingresa al centro de cumplimiento, expedientes y auditoria. | Context: {uiText(i18n, "Ingresa al centro de cumplimiento, expedientes y auditoria.", "Enter the compliance, files and audit center.")}
components\Auth\LoginComponent.jsx:156 -> Entrar en modo demo | Context: {uiText(i18n, "Entrar en modo demo", "Enter Demo Mode")}
components\Auth\LoginComponent.jsx:168 -> Demo local: usa demo@nsd.local / demo12345 o el boton de modo demo. | Context: {uiText(i18n, "Demo local: usa demo@nsd.local / demo12345 o el boton de modo demo.", "Local demo: use demo@nsd.local / demo12345 or the demo mode button.")}
components\Auth\LoginComponent.jsx:193 -> Contraseña | Context: {uiText(i18n, "Contraseña", "Password")}
components\Auth\LoginComponent.jsx:223 -> Iniciar sesión | Context: {isLoading ? uiText(i18n, "Conectando...", "Connecting...") : uiText(i18n, "Iniciar sesión", "Sign In")}
components\Auth\SignupComponent.jsx:18 -> solicitante | Context: role: "solicitante",
components\Auth\SignupComponent.jsx:33 -> Contraseña es requerida | Context: if (!formData.password) newErrors.password = "Contraseña es requerida";
components\Auth\SignupComponent.jsx:37 -> Las contrasenas no coinciden | Context: newErrors.confirmPassword = "Las contrasenas no coinciden";
components\Auth\SignupComponent.jsx:39 -> Selecciona un tipo de usuario | Context: if (!formData.role) newErrors.role = "Selecciona un tipo de usuario";
